Website,Date,author_name,related_topics,pdf_links,page_content
https://www.ey.com/en_in/advanced-manufacturing,2024-07-12,,,,
https://www.ey.com/en_in/advanced-manufacturing/why-the-fourth-time-s-the-charm-for-automotive,2021-09-01,Sven Dharmani,"Advanced Manufacturing, Supply chain, Future of manufacturing, Digital, Automotive",,"We are in the fourth industrial revolution. Industry 4.0 is not simply a buzzword or a term thrown around by the Davos crowd: it is affecting every sector and every business operating today, and the automotive industry is no exception.
Industry 4.0 is an integration of the physical, biological and digital worlds, built on a base of emerging technological breakthroughs including autonomous capabilities, artificial intelligence, the Internet of Things (IoT), next-generation wireless technologies, nanotechnology, big data, blockchain and cloud computing. Some of this technology is in use today — on a mass scale, or just emerging and being tested. Others, such as blockchain and cutting-edge autonomous capabilities, are in their infancy and not widely adopted or understood.
The pace of change is becoming more rapid. Customer expectations are higher and seemingly ever-increasing. At the same time, demand is becoming more and more volatile. For example, say a photograph of a celebrity wearing a particular brand goes viral, or a social media influencer makes a video about a particular cosmetic. Sellouts in these cases may seem almost instantaneous. Unconventional channels are creating disruption and impacting supply chains in a matter of hours, not months.
While these examples are retail-focused, they demonstrate how disruption impacts global supply chains. To operate in this more-volatile environment with an entirely different dynamic, we need to embrace new capabilities that enable greater agility."
https://www.ey.com/en_in/advanced-manufacturing/where-the-next-wave-of-consolidation-in-the-chemicals-sector-could-occur,2021-07-27,,"Chemicals, Advanced Manufacturing, Future of manufacturing",https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/manufacturing/ey-chemicals-m-and-a-pov.pdf?download,
https://www.ey.com/en_in/advanced-manufacturing/how-oems-can-achieve-the-best-of-both-worlds,2021-09-08,Sven Dharmani,"Advanced Manufacturing, Automotive",,"In the next 10 years, you will undoubtedly see instances of new entrants being acquired by traditional original equipment manufacturers (OEMs). Both have problems that are not easy to solve. But when these two types of companies are paired together, these problems can be addressed.
Both new entrants and traditional OEMs have strengths and weaknesses — and both have competitive advantages. Having less experience means having fewer constraints and less fear — after all, there is less to lose. But it also comes with a lack of wisdom and practical knowledge, as well as a tendency to make more mistakes along the way.
The automotive industry has existed for over 100 years. A lot of the large OEMs have spent decades really honing how they can make their supply chain lean; build and sell cars on a large scale, at a high volume and cost-effectively; get the cars out to consumers who actually use them; and help drivers maintain those cars. Over those decades, those OEMs have grown massive. They now lack agility. They struggle to achieve speed to market when they have a new, creative idea that needs to be launched fast. That’s where their own inertia of being large works against them. This is where the new entrants break the mold.

Traditional OEMs are not about to wait. They are going to recognize innovative changes to the way cars are made and the way we use those cars. They will reproduce what the new entrants do faster and at scale. Instead of taking a decade, it will take traditional OEMs three to five years to scale an innovation as well as or better than new entrants.
From managing the status quo (an existing supplier base, dealer network and customer base) to turning to new products with new requirements (supplier base, parts, plants and revenue model), striking a balance will be critical to maintaining the value of the company and mitigating the risk of an overnight stock wipeout.
We are not seeing the full effect of the electrification and new entrants yet. New entrants still need to figure out how to have financially viable business models in the longer term with the products and services at scale.
Acquisitions aren’t the only situations in which traditional OEMs and new entrants can play off of each other’s strengths: it would also be fascinating to see a joint venture between the two. Under this scenario, all of the knowledge from the traditional OEM could be used with the new entrant, allowing everyone to innovate. It happens in the tech world all the time.
Whether through acquisitions or joint ventures — however it plays out — it’s very likely that you’ll see traditional OEMs and new entrants working together in the coming decade. They’ll do it because they need each other."
https://www.ey.com/en_in/aerospace-defense,2023-03-10,,,,
https://www.ey.com/en_in/aerospace-defense/why-supply-chain-management-is-important-in-aerospace-and-defense,2020-06-26,,,,
https://www.ey.com/en_in/ai,2024-07-12,,,,
https://www.ey.com/en_in/alumni,2024-05-20,,,,
https://www.ey.com/en_in/alumni/why-investing-in-people-should-be-a-priority-for-organizations-and-leaders,2019-06-06,,"Alumni, Growth, Workforce",,"“To adapt to change, it is important to focus the change on yourself rather than the people around you,” says EY alumna Sandipa Maharaj as we caught up with her to hear about her professional and personal journey with EY.
Currently the Finance Director of Consumer-Packaged Goods at Imperial Logistics, Sandipa started her career with EY as an article and stayed with EY for five years till 2009.
EY was, to her, “the type of place where you looked forward to going to work every day.” It was where, she says, she formed the base for her career. “My articles provided a fantastic base for me, in terms of learning all-round skills, not just the technical side of accounting. It also started opening my mind up to the impact that a CA could have in an organization.”
After her articleship, Sandipa went on for a secondment at EY’s Central London office – an experience she describes as a “growing point” in her life. “I think I grew, not only as a professional, but in my personal capacity, as well. I was exposed to so much more than just the technical side.”
EY wasn’t always about work for Sandipa. Passionate about mentoring and guiding young students, she regularly went out to schools and gave talks to underprivileged kids on how to become a CA.
Sandipa learned the importance of investing in people early on. She continues to put that into practice and encourages others to do so as well. “EY taught me, from a very young age, the importance of investing in people and I carry that through my career with me now. It definitely provided me with the tools I needed to get to where I wanted to go.”
But how exactly should organizations invest in people? According to Sandipa, it is by aligning their activities on the job with a larger purpose. “Loyalty doesn't come from just having a job; it comes from connecting with the purpose of the business. And that emotional connection is vitally important.”"
https://www.ey.com/en_in/alumni/the-curious-banker,2020-06-29,EY India,"Alumni, Workforce",https://assets.ey.com/content/dam/ey-sites/ey-com/en_in/topics/alumni/alumni-connect-magazine-december-2019.pdf?download,"Sesha was born and brought up in Chennai in a south Indian family. Since childhood, he developed a strong inclination towards finance and numbers, also influenced by his father’s interest in the financial markets. At 15, he surprised his parents, when contrary to everyone’s expectations and wishes of him joining IIT and becoming an engineer, he decided to pursue chartered accountancy. This choice also happened to then become a great motivation for him to push hard and prove himself to his family. In his teens, he spent a lot of time going through CEO statements, analyzing annual reports of companies and understanding and reworking the ratios to increase his understanding and expertise in financial markets.
Reminiscing about how his association with EY began, he recalls his cousin, who is also his mentor in life, encouraging him to gain experience at a big four consulting firm as he felt that would be a strong start to his career. On his advice, Sesha applied to some of them and as destiny would have it, he got the first interview call from EY. After seven grilling rounds, he was selected as one of four hires among the 50+ applications. Recalling his initial impressions at EY, Sesha shared, “I was awed and enthralled by what I experienced on the first day and the kind of people I met. By the time the other companies called, I had already made up my mind to start my tenure with EY and didn’t even attend any other interviews.” Describing his experience as wonderful, he shares that his stint was very productive as he got the opportunity to work across various sectors, assignments and with different teams.
Also, his interactions with the exceptional talent and inspiring leaders at EY enriched his experience. He shares that Terry Thomas and N Balaji, Partners at the EY Chennai office, left an everlasting impact on him and went on to be his friends, philosophers and guides in his professional journey thereafter. He thanks EY’s culture and team spirit that made erstwhile colleagues like Vijay Shankar (Partner in Bangalore) and Shankari (Director in Chennai) best friends for life. Sesha strongly feels that the constant access to leaders gave him a lot of exposure and impacted his overall perception of life. It also brought out the curious kid in him every day. He proudly declares, “While I was born and brought up in Chennai but professionally, I was born and brought up in EY! Striving for excellence and always looking for opportunity to learn and improve are key traits EY has taught me for life.”
Sesha travelled extensively and worked on several engagements during his tenure which helped him get excellent insights and an opportunity to identify the nuts and bolts of how a company operates. “The length and breadth of work that I got at EY was unmatched and is something that I miss since leaving EY,” he shares. One of the highlights of his experience was the opportunity to work with the central division (mother entity) of a client in the US, after they were impressed with Sesha and his team’s performance on the same project with the Indian division of the firm. It was a proud moment for Sesha and his team as it was one of the first instances that EY India had won a mandate in the US.
The cosmopolitan culture and working with people from across the world made his EY experience even better and he feels that diversity helps you become a well-rounded professional. Interestingly, he became better at Hindi at EY!
In 2007, Sesha got an opportunity to work with Barclays in Singapore. He had recently got married at that time and the chance to work in an exciting new city eventually lured him abroad to gain some experience with the bank. Banking, which was thriving at that time, was a completely different world for him. Speaking of the challenges he faced and how the EY experience helped him transition into the new role, he says, “What I do in banking is very niche - product control. As a function, it is time sensitive, high risk and extremely demanding and challenging. I believe EY prepared me well for it. Even though I was not from a banking, financial services and insurance (BFSI) background, I adapted to it well. The challenge was to learn about financial products in a very thorough manner. So, the leadership and managerial foundation from my years at EY helped me get a strong start in my new role.” In 2011, after spending over four years in Singapore, Sesha wanted to come back to his family in India for personal reasons. In the absence of good opportunities in Chennai for him, he joined Credit Suisse, Pune as a Vice President. It was when their product control practice was being set-up. Credit Suisse gave him the exposure to a leadership role, as he set up a function, built a team and created capabilities. After being promoted to Director and spending some time in Pune, he was keen to come back to his family city, Chennai.
Sesha moved to Chennai and joined back Barclays. He has been working in the banking and product control domain for over 12 years now. Recounting his experience, he says, “I have continued doing similar work for the last twelve years. I feel, it’s a very good high. I also brought a lot of risk and control mindset into it (learnings from EY days), which really helped me bring something to the table even though I was new to the industry in the initial years. Sesha is leading a team of over 70 people at Barclays. He is looking after the primary market, which deals with IPO, advisory, loan syndication and bank’s treasury. Investment and international Banking is going through a very interesting and challenging phase. Things are not always favorable, and he tries to turn every challenge into an opportunity and that is something which keeps him excited!
Sesha’ s advice to the young generation today would be to dig deep, instead of digging wide. To always have an edge over others, one should be curious, confident and spend a lot of time digging deeper to become an expert in a field. He further says that people usually tend to get distracted if they have multiple plans, so one should have fewer plans and ideas and give one’s best to them. 10 years down the line, he would love to be in a global leadership role or start his own entrepreneurial venture. If he gets an opportunity, he would also like to take an education break to study more."
https://www.ey.com/en_in/alumni/the-art-of-authenticity,2020-02-17,EY India,"Alumni, Workforce",https://assets.ey.com/content/dam/ey-sites/ey-com/en_in/topics/alumni/alumni-connect-magazine-december-2019.pdf?download,"Manish Vora worked with a member firm of EY in India as an article intern, from 1997 to 2000 in Mumbai.
Born into a traditional Gujrati business family, Manish’s life story has been anything but ordinary. Firmly disciplined with strong principles and values, he has been an exception from the norm in terms of how his decisions have played out.
As Manish was academically strong, his father was convinced he would follow in his footsteps and become a doctor. However, he decided to join and further his family’s diamond business for a few years post completing his schooling. He pursued his graduation from Narsee Monjee College with the thought that he would eventually return to his family business. A piece of advice he received post his graduation changed his entire career journey. He enrolled to become a chartered accountant with the intent that it would help his family better run their diamond business. But fate had a few surprises in store for him.
A friend’s encouragement landed Manish at a member firm of EY and introduced him to the corporate world, which Manish then never left. At EY, he worked with the assurance team as well as the tax team on various projects. Having worked on multiple mandates across sectors including manufacturing, financial services and stock markets, Manish feels that he had an exceptional learning experience, which served to cement his foundation. He believes that EY gave him the right platform to learn and build himself as a professional.
After having worked on many assurance projects, Manish chose to move to tax because he wanted to learn the art of making and saving money. He was one of first article trainees who got the opportunity to switch such roles, mainly because of him being a rank holder during CA. He worked in all aspects of tax and feels that, “If not EY, I would not have got the strong foundation in tax”. While Manish was learning a lot and enjoying his stint at EY, the thought of his family business never left his mind and he was very focused on putting this EY experience and learning to good use when he returned to the business.
“After six months of moving to the corporate side, I was the first recruit in the marketing finance field at Johnson and Johnson’s (J&J) medical division,” says Manish. Having the opportunity to work directly with the Managing Director, CFO and other leaders at J&J’s medical division for over four years, he had a great learning experience.
According to Manish, being the co-pilot to the Managing Director is both exciting and, in some ways, also re-defining the role of a CFO. He shares, “While your core finance functions remain as your fiduciary responsibility, how you are able to shape the decision-making internally and externally are becoming a critical part of the role. Keeping pace with the dynamically changing skill-set requirements, both for yourself and the team and staying relevant for future, are becoming more important than ever before.”
After having spent several years being entrenched in the pharma-consumer sector, he feels very strongly about some aspects of the industry. “The only way to come up the value stream is through innovation and globalization of Indian pharma/medical brands. The scenario is improving now but it will take some more time for India to come to the level and scale of an evolved pharma and medical industry. And for that, infrastructure and an ecosystem where innovation thrives, is what is needed at this time,” he shares.
Manish strongly believes that one must identify and pre-empt future trends and be ahead of the curve in sharpening one’s skills. “Always believe in yourself, you are what you are because of your own personality and uniqueness. There will always be areas of improvement, but never leave who you are and where you come from,” he adds. He sums up life in one sentence — happiness is crazy mathematics, it multiplies when you divide it."
https://www.ey.com/en_in/assurance,2024-07-22,,,,
https://www.ey.com/en_in/assurance/how-to-support-better-environment-health-and-safety-outcomes,2020-02-18,Rebecca Dabbs,"Assurance, Climate change and sustainability",,
https://www.ey.com/en_in/assurance/outcomes-measurement,2024-07-22,,,,
https://www.ey.com/en_in/assurance/internal-controls-effectiveness,2020-03-19,,,,
https://www.ey.com/en_in/assurance/nonfinancial-reporting-advisory,2024-07-22,,,,
https://www.ey.com/en_in/assurance/benchmark-analysis,2022-09-12,,,,
https://www.ey.com/en_in/assurance/transaction-accounting-ipo-capital-markets,2024-07-22,,,,
